編號,機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度,cos緯度,sin緯度,cos經度,sin經度
90,新竹市政府,新竹市湳雅公園,旅遊景點,新竹市,北區,300新竹市北區武陵路196巷2號,24.820303,120.968117,0.907628787,0.419773731,-0.514561013,0.857453768
91,新竹市稅務局,新竹市稅務局1樓,洽公場所,新竹市,東區,300新竹市東區中央路112號,24.806272,120.969901,0.907731557,0.419551452,-0.514587711,0.857437746
92,新竹市稅務局,新竹市稅務局3樓,洽公場所,新竹市,東區,300新竹市東區中央路112號,24.806272,120.969901,0.907731557,0.419551452,-0.514587711,0.857437746
93,新竹市政府,新竹市農產運銷公司1F入口廣場,其他,新竹市,東區,300新竹市東區經國路一段411號,24.81469,120.97733,0.907669906,0.419684813,-0.514698883,0.857371017
94,新竹市政府,新竹市農產運銷公司1F承銷人休息區,其他,新竹市,東區,300新竹市東區經國路一段411號,24.81469,120.97733,0.907669906,0.419684813,-0.514698883,0.857371017
95,新竹市政府,新竹市遠東巨城購物中心前廣場(右側),旅遊景點,新竹市,東區,300新竹市東區中央路229號,24.809447,120.975245,0.907708306,0.419601752,-0.514667682,0.857389746
96,新竹市政府,新竹市遠東巨城購物中心前廣場(左側),旅遊景點,新竹市,東區,300新竹市東區中央路229號,24.809463,120.974404,0.907708189,0.419602006,-0.514655097,0.8573973
97,新竹市文化局,新竹市影像博物館2F放映大廳,文教館所,新竹市,東區,300新竹市東區中正路65號,24.804948,120.969591,0.907741252,0.419530476,-0.514583072,0.85744053
98,新竹市文化局,新竹市影像博物館前廣場,文教館所,新竹市,東區,300新竹市東區中正路65號,24.804929,120.969625,0.907741391,0.419530175,-0.514583581,0.857440224
99,新竹市環境保護局,新竹市環境保護局1樓,洽公場所,新竹市,北區,300新竹市北區海濱路240號,24.834785,120.916836,0.907522657,0.420003128,-0.513793367,0.857913968
100,新竹市殯葬管理所,新竹市殯葬管理所服務中心,洽公場所,新竹市,北區,300新竹市北區成德路132號1F,24.793338,120.957091,0.907826244,0.419346529,-0.514395995,0.857552774
101,新竹市殯葬管理所,新竹市殯葬管理所新館禮廳(右側),其他,新竹市,北區,300新竹市北區成德路132號2F,24.793338,120.957091,0.907826244,0.419346529,-0.514395995,0.857552774
102,新竹市殯葬管理所,新竹市殯葬管理所新館禮廳(左側),其他,新竹市,北區,300新竹市北區成德路132號2F,24.793338,120.957091,0.907826244,0.419346529,-0.514395995,0.857552774
103,新竹市殯葬管理所,新竹市殯葬管理所新館靈堂,其他,新竹市,北區,300新竹市北區成德路132號2F,24.793338,120.957091,0.907826244,0.419346529,-0.514395995,0.857552774
104,新竹市殯葬管理所,新竹市殯葬管理所舊館左側靈堂,其他,新竹市,北區,300新竹市北區成德路132號2F,24.793392,120.956581,0.907825848,0.419347384,-0.514388362,0.857557353
105,新竹市警察局,新竹市警察局刑警大隊,洽公場所,新竹市,北區,300新竹市北區中山路1號,24.806394,120.968508,0.907730664,0.419553384,-0.514566864,0.857450256
106,新竹市警察局,新竹市警察局第二分局,洽公場所,新竹市,東區,300新竹市東區光復路二段798號,24.799728,120.990873,0.90777947,0.419447773,-0.514901525,0.857249333
107,新竹市警察局,新竹市警察局第三分局,洽公場所,新竹市,香山區,300新竹市香山區牛埔路432號,24.797608,120.942621,0.907794989,0.419414184,-0.514179404,0.857682657
108,新竹市政府,新竹市護城河岸大同橋(右側),旅遊景點,新竹市,東區,300新竹市東區大同路,24.802912,120.970159,0.907756159,0.419498219,-0.514591572,0.857435428
109,新竹市政府,新竹市護城河岸大同橋(左側),旅遊景點,新竹市,東區,300新竹市東區大同路,24.802912,120.970159,0.907756159,0.419498219,-0.514591572,0.857435428
110,新竹市政府,新竹市護城河岸東門橋右側,旅遊景點,新竹市,東區,300新竹市東區信義街,24.803711,120.970631,0.907750309,0.419510878,-0.514598636,0.857431189
111,新竹市政府,新竹市護城河岸東門橋(左側),旅遊景點,新竹市,東區,300新竹市東區信義街,24.803711,120.970631,0.907750309,0.419510878,-0.514598636,0.857431189
112,新竹市政府,新竹市護城河岸信義街(右側),旅遊景點,新竹市,東區,300新竹市東區林森路,24.804626,120.97047,0.907743609,0.419525374,-0.514596226,0.857432635
113,新竹市政府,新竹市護城河岸信義街(左側),旅遊景點,新竹市,東區,300新竹市東區林森路,24.804626,120.97047,0.907743609,0.419525374,-0.514596226,0.857432635
114,新竹市政府,新竹市護城河岸圓環邊,旅遊景點,新竹市,東區,300新竹市東區府後街,24.804256,120.970105,0.907746319,0.419519512,-0.514590764,0.857435913
115,新竹市政府,新竹客運轉運站(左側),大眾運輸節點,新竹市,東區,300新竹市東區東南街1巷6號,24.801042,120.972476,0.90776985,0.419468592,-0.514626246,0.857414618
